sep=,
naziv,naslov_natjecaja,url,kategorija,iznos,iznos_je_fond,rok_tekst,uvjeti,upute_za_prijavu,napomena,poveznica_natjecaj,status,zadnje_provjereno
Grad Varaždin — natječaji,,https://varazdin.hr/natjecaji/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:17
Grad Karlovac — natječaji i pozivi,,https://www.karlovac.hr/natjecaji_pozivi/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:18
Grad Pula — novosti i natječaji,,https://www.pula.hr/hr/novosti/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:18
Varaždinska županija — stipendije,,https://www.varazdinska-zupanija.hr/potpore-i-pomoci1/stipendije.html,Županija,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:18
Osječko-baranjska županija — stipendije,Stipendije za učenike i studente,https://www.obz.hr/index.php/stipendije-i-krediti/stipendije,Županija,"100,00 eura mjesečno za učenike (10 mjeseci), 200,00 eura mjesečno za studente",False,,"Stipendije se dodjeljuju učenicima i studentima u četiri kategorije: darovitim učenicima i studentima, učenicima i studentima koji se obrazuju za deficitarna zanimanja, učenicima i studentima koji se obrazuju u STEM području i učenicima i studentima slabijeg socijalnog statusa.",,"Natječaj se objavljuje u mjesecu rujnu tekuće godine. Učenicima se stipendije isplaćuju od 1. rujna do 30. lipnja, studentima od 1. listopada do 31. srpnja.",,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:18
Primorsko-goranska županija — stipendiranje učenika i studenata,Stipendije za učenike i studente,https://www.pgz.hr/ustroj/upravna-tijela/upravni-odjel-za-odgoj-i-obrazovanje/stipendiranje-ucenika-i-studenata/,Županija,"160,00 eura mjesečno, 10 mjeseci",False,,"Učenici i studenti s prebivalištem na području PGŽ najmanje 6 mjeseci prije raspisivanja natječaja. Učenici i studenti darovitih kategorija moraju imati prosjek ocjena od najmanje 4,50.",,"Stranica opisuje program stipendiranja u tri kategorije (daroviti učenici, daroviti studenti, studenti deficitarnih zanimanja) ali ne sadrži informacije o otvorenom natječaju, roku prijave niti detaljnim uputama za prijavu.",,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:18
Karlovačka županija — javni pozivi (društvene djelatnosti),Stipendije učenicima Karlovačke županije,https://kazup.hr/index.php/natjecaji-i-javni-pozivi/javni-pozivi-uo-za-drustvene-djelatnosti/,Županija,,False,29.09.2026.,Učenici na području Karlovačke županije za školsku godinu 2026./2027.,Registracija u sustavu | Prijava putem elektroničkog sustava | Podnošenje sve potrebne dokumentacije | Dostava potpisane privole i suglasnosti,Prijava bez potpisane privole i suglasnosti neće se uzimati u obzir. Prijave se podnose isključivo elektroničkim putem.,,OTVORENO — rok za 3 dana (2026-09-29),2026-09-26T11:18
Istarska županija — natječaji,,https://www.istra-istria.hr/hr/natjecaji/,Županija,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:18
Splitsko-dalmatinska županija — natječaji,,https://www.dalmacija.hr/natjecaji,Županija,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:18
Sveučilište u Zagrebu — stipendije,Stipendije Sveučilišta u Zagrebu 2025./2026,https://www.unizg.hr/studiji-i-studiranje/upisi-stipendije-priznavanja/stipendije/,Sveučilište,"2.325,00 EUR",False,,"Redoviti studenti sveučilišnih prijediplomskih, integriranih prijediplomskih i diplomskih, diplomskih te stručnih prijediplomskih i diplomskih studija. Kriteriji se razlikuju po kategorijama: A (prosjek 4,0+), B/C/E (prosjek 4,0+, posebna postignuća), D (prosjek 3,0+, socijalna ugroženost, invaliditet, studenti s djecom ili iz sustava skrbi).",Prijava elektroničkim putem kroz aplikaciju na mrežnim stranicama Sveučilišta uz AAI elektronički identitet | Pažljivo pročitati tekst natječaja i provjeriti ispunjavanje kriterija | Prijava moguća samo u jednoj kategoriji | Kontakt: stipendije@unizg.hr,Natječaj je zatvoren. Rok prijave bio je 17. prosinca 2025. do 16. siječnja 2026. Objavljeni su već konačni rezultati (28. travnja 2026.). Uz stipendiju Sveučilišta nije moguće primati drugu stipendiju iz javnih izvora (osim Erasmus+).,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:18
Sveučilište u Rijeci — stipendije i potpore,Stipendije za socijalno ugrožene studente,https://uniri.hr/studiranje/stipendiranje-i-financiranje/stipendije-i-potpore/,Sveučilište,"do 2.000,00 EUR godišnje",False,"srijeda, 25. ožujka 2026. do 12.00 sati","Hrvatski državljani ili građani EU s boravkom u RH, upisani u redovitom ili izvanrednom statusu na Sveučilištu u Rijeci, s prosječnim mjesečnim prihodima po članu kućanstva do 100-150% proračunske osnovice (441,44-662,16 EUR).","Preuzmite Obrasce P, IZK i I sa stranice | Prikupite potvrde o statusu, prebivalištu, dohotku i osobnu iskaznicu | Pretvorite sve dokumente u PDF format | Popunite elektronički obrazac MS Forms | Učitajte sve PDF dokumente u obrazac | Pošaljite prijavu do 25. ožujka 2026.","Natječaj se podnosi isključivo elektronički preko MS Forms uz AAI@EduHr identitet (@uniri.hr). Studentima viših godina trebalo je najmanje 18 ECTS bodova u 2024./2025. Dodatni dokumenti potrebni za posebne kategorije (invaliditet, slamnohrani roditelj, itd.). Nakon slanja prijedloga nije moguće ga mijenjati.",,ROK ISTEKAO (2026-03-25) — čeka se novi ciklus,2026-09-26T11:18
Sveučilište u Zadru — stipendije,,https://www.unizd.hr/studiji-i-studenti/studentski-centar/stipendije,Sveučilište,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:18
Zaklada Sveučilišta u Zagrebu — natječaji,Stipendije Zaklade Sveučilišta za studente,https://www.unizg.hr/suradnja/alumni-i-zaklada-sveucilista/zaklada-sveucilista-u-zagrebu/natjecaji/,Zaklada,2.250 EUR jednokratno,False,16. siječnja 2026. do 12.00 sati,"Redoviti studenti prijediplomskih, diplomskih i integriranih studija na Sveučilištu u Zagrebu s manjim socijalno-ekonomskim statusom ili bez roditeljske skrbi. Prihod po članu kućanstva ne smije prelaziti 65% proračunske osnovice za 2025. (186,51 EUR). Minimalni prosjek ocjena 3,00 (odnosno 3,50 za studente prve godine).","Prijava isključivo elektronički putem aplikacije na stranici Zaklade | Prijava od 22. prosinca 2025. od 12:00 do 16. siječnja 2026. do 12:00 | Potrebna dokumentacija: izjava o članovima kućanstva, osobna iskaznica, potvrda o dohodcima za 2024. | Priložiti potvrdu o upisu, pregled ocjena i ECTS bodova, potvrdu prosjeka | Kontakt: zaklada@unizg.hr",Dodjeljuje se 10 stipendija. Stipendija se isplaćuje jednokratno. Studenti moraju dostavi izjavu o neprimanju drugih javnih stipendija u 2025. godini (izuzev Erasmus+ i stipendija za mobilinost). Prigovori se mogu podnijeti u roku od 8 dana od objave privremene rang-liste.,,ROK ISTEKAO (2026-01-16) — čeka se novi ciklus,2026-09-26T11:18
Zaklada Adris — natječaji,Stipendije Zaklade Adris,https://www.adris.hr/odnosi-s-javnoscu/zaklada-adris/natjecaji/,Zaklada,,False,,"Učenici srednje škole nisu stariji od 19 godina, s prosjekom ocjena 4,5 ili više, hrvatskog državljanstva. Redovni studenti na preddiplomskom i diplomskom studiju nisu stariji od 25 godina, s prosjekom ocjena 4,5 ili više, hrvatskog državljanstva. Polaznici poslijediplomskog stručnog i znanstvenog usavršavanja nisu stariji od 35 godina. Polaznici poslijediplomskog doktorskog studija nisu stariji od 35 godina.",Preuzeti službeni upitnik sa internetskih stranica Zaklade | Ispuniti sve podatke na hrvatskom jeziku | Dostavljeni prijavu poštom ili prema naputcima na službenoj web stranici Zaklade,Broj stipendija određuje se ovisno o godišnjem proračunu Zaklade. Stipendija se dodjeljuje za jednu školsku/akademsku godinu. Stipendije se isplaćuju u deset obroka tijekom školske/akademske godine. Stipendisti postaju članovi Alumni kluba Zaklade Adris.,http://www.adris.hr/odnosi-s-javnoscu/zaklada-adris/stipendije/,PROVJERITI RUČNO (rok nije jasno parsiran),2026-09-26T11:18
HEP — praksa i stipendije,Stipendije za učenike i studente HEP grupe,https://www.hep.hr/ljudski-potencijali/praksa-i-stipendije/110,Tvrtka,,False,,Redovni učenici i studenti mogu se prijaviti na natječaj HEP grupe objavljen na internetskoj stranici HEP-a.,Iskazati interes na ljudski.potencijali_obrazovanje@hep.hr | Dostaviti originalnu uputnicu obrazovne ustanove kadrovskoj službi | Čekati povratnu informaciju elektronskim putem,"Stranica spominje natječaje za 2025./2026., ali ne navodi konkretne datume roka prijave ni detaljne iznose stipendija. Rezultati natječaja su već dostupni, što ukazuje da je prijava zatvorena.",,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:18
INA Grupa — INA i mladi (stipendije),,https://karijera.ina.hr/hr/ina-i-mladi,Tvrtka,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:18
AMPEU — Erasmus+ i programi mobilnosti,Chevening stipendije za diplomski studij,https://www.ampeu.hr/natjecaji,Međunarodno,,False,6. listopada 2026. u 13:00 sati,"Za Chevening se mogu prijaviti osobe koje imaju završen preddiplomski studij i najmanje dvije godine radnog iskustva stečenog nakon završetka studija. Od kandidata se očekuje da jasno obrazlože zašto žele studirati u UK-u, što žele postići u svojoj karijeri i kako će stečeno znanje nakon povratka primijeniti u Hrvatskoj.",Odaberite područje studiranja | Prijavite se na tri diplomska studijska programa u Ujedinjenoj Kraljevini | Pripremite obrazloženje motivacije i karijernih ciljeva | Prijavite se putem službene stranice programa Chevening,Chevening stipendija je potpuno financiran jednogodišnji diplomski studij; stipendisti se obvezuju vratiti u Hrvatsku na najmanje dvije godine nakon završetka studija.,https://www.ampeu.hr/natjecaji/otvorene-prijave-za-chevening-stipendije-za-studij-u-ujedinjenoj-kraljevini-velike-britanije-i-sjeverne-irske,OTVORENO — rok za 10 dana (2026-10-06),2026-09-26T11:19
Europska komisija — stipendije za konferencijsko prevođenje,Stipendije za studente konferencijskog prevođenja,https://commission.europa.eu/funding-tenders/find-funding/find-calls-funding-topic/education-and-training-funding/funding-opportunities-conference-interpreting-programmes/bursaries-conference-interpreting-students_hr,Međunarodno,do 3000 eura jednokratno,False,petak 25. rujna 2026.,Studenti diplomskih/poslijediplomskih studija konferencijskog prevođenja. Više informacija dostupno u pozivu za podnošenje prijava.,Detaljne upute dostupne u pozivu za podnošenje prijava (Call for applications),"Iznos stipendije je jednak upisnini (školarini i/ili administrativnoj pristojbi), ali maksimalno 3000 EUR. Rok je 25. rujna 2026.",,ROK ISTEKAO (2026-09-25) — čeka se novi ciklus,2026-09-26T11:19
Grad Koprivnica — stipendije,Studentske stipendije Grada Koprivnice,https://koprivnica.hr/gradani/odgoj-i-obrazovanje/stipendije/,Grad,"130,00 EUR za studente u RH, 210,00 EUR za studente izvan RH, 170,00 EUR za studente u RH s invaliditetom većim od 50%, 290,00 EUR za studente izvan RH s invaliditetom većim od 50%, 300,00 EUR za studente u RH koji se školuju za deficitarna zanimanja; mjesečno, 12 mjeseci",False,,"Redoviti studenti s prebivalištem na području Grada Koprivnice upisani na prijediplomski, diplomski ili poslijediplomski studij.",,"Natječaj se objavljuje na službenim stranicama Grada Koprivnice i traje najmanje 15 dana. Stipendije se isplaćuju do 10. u mjesecu za prethodni mjesec. Student mora dostaviti potvrdu o upisu (do 31. listopada za narednu godinu ili zimski semestar, do 15. ožujka za ljetni semestar) kako bi nastavio primati stipendiju. Stipendija se vraća ovisno o vremenu završetka studija, s mogućnošću otplate u ratama.",,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:19
Grad Bjelovar — stipendije,Stipendije studentima Grada Bjelovara,https://www.bjelovar.hr/obrazovanje-i-skrb/stipendije/,Grad,,False,,Studenti s područja Grada Bjelovara.,,"Detaljne informacije nalaze se u priloženoj datoteci (Natjecaj-za-dodjelu-stipendija-studentima-s-podrucja-Grada-Bjelovara-2025-2026.doc). Stranica ne sadrži detaljne uvjete, iznose niti rok prijave.",https://www.bjelovar.hr/dokumenti/natjecaj-za-dodjelu-stipendija-studentima-s-podrucja-grada-bjelovara-2025-2026/,PROVJERITI RUČNO (rok nije jasno parsiran),2026-09-26T11:19
Grad Dubrovnik — natječaji,,https://www.dubrovnik.hr/natjecaji,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:19
Bjelovarsko-bilogorska županija — stipendije,,https://bbz.hr/uo-obrazovanje-stipendije/,Županija,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:19
Požeško-slavonska županija — otvoreni natječaji,Stipendije za poljoprivredno-prehrambena zanimanja,https://www.pszupanija.hr/natjecaji/otvoreni-natjecaji,Županija,,False,od 14. do 23. rujna 2026. u 12:00 sati,Učenici koji se u školskoj godini 2026./2027. obrazuju za poljoprivredno-prehrambena zanimanja na području Požesko-slavonske županije.,,Iznos stipendije nije specificiran u tekstu natječaja - dostupan je u priloženim dokumentima (Natječaj i Proračun).,https://www.pszupanija.hr/natjecaji/otvoreni-natjecaji/2788-natjecaj-za-dodjelu-stipendija-pozesko-slavonske-zupanije-ucenicima-koji-se-u-sk-god-2026-2027-obrazuju-za-poljoprivredno-prehrambena-zanimanja-na-podrucju-pozesko-slavonske-zupanije,ROK ISTEKAO (2026-09-23) — čeka se novi ciklus,2026-09-26T11:19
Dubrovačko-neretvanska županija — stipendije,Stipendije za učenike i studente,https://www.dnz.hr/stipendije/,Županija,"88,00 eura mjesečno za učenike (10 mjeseci), 146,00 eura mjesečno za studente",False,,"Učenici koji su daroviti ili se obrazuju za deficitarna zanimanja, te studenti koji su daroviti ili se obrazuju za deficitarna zanimanja.",,Natječaj se objavljuje u mjesecu listopadu i otvoren je 14 dana od dana objave. Trenutno nema specifičnog aktivnog natječaja na stranici.,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:19
Koprivničko-križevačka županija — stipendije,Studentske stipendije za 2025./2026. godinu,https://stipendije.kckzz.hr/,Županija,,False,17. listopada 2025. godine,Redovno upisani studenti s područja Koprivničko-križevačke županije koji ispunjavaju kriterije postavljene Odlukom o stipendiranju studenata.,Dostaviti dokaz redovnog upisa akademske godine | Dostaviti prijepis ocjena iz prethodne godine ili dokumenta srednje škole | Dostaviti uvjerenje o prebivalištu PU Koprivničko-križevačke | Dostaviti dodatnu dokumentaciju za ostvarivanje dodatnih bodova ako primjenjivo,"Rok je bio od 1. do 17. listopada 2025. - provjerite je li rok već prošao. Visina stipendije nije navedena na stranici. Za potpunu informaciju o iznosu trebate vidjeti Odluku o broju, visini i roku isplate stipendija.",,ROK ISTEKAO (2025-10-17) — čeka se novi ciklus,2026-09-26T11:19
Ličko-senjska županija — natječaji i pozivi,,https://licko-senjska.hr/natjecaji-i-pozivi/,Županija,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:19
Virovitičko-podravska županija — natječaji,,https://www.vpz.hr/,Županija,,,,,,,,"GREŠKA — stranica nedostupna (server se ne javlja), provjeriti ručno",2026-09-26T11:20
Brodsko-posavska županija — natječaji,Stipendije redovitim studentima 2022,https://www.bpz.hr/natje%C4%8Daji-21,Županija,,False,15 dana od dana objave natječaja,"Redovni studenti stručnog ili sveučilišnog studija s prebivalištem na području Brodsko-posavske županije, državljani RH, koji udovoljavaju uvjetima vezano uz prosječnu ocjenu i materijalni status (ovisno je li prijava po osnovi deficitarnosti ili darovitosti).","Preuzeti obrasci iz Upravnog odjela ili sa www.bpz.hr | Popuniti prijavu i Izjavu o članovima domaćinstva | Priložiti tražene dokumente | Predati u Pisarnici ili poštom s naznakom Natječaja na Petra Krešimira IV br.1, Slavonski Brod",U 2022. godini dodijelit će se 48 stipendija - za deficitarna zanimanja i za darovite studente. Stipendija se isplaćuje od 1. siječnja za mjesece siječanj-srpanj i rujan. Korisnik mora nastaviti studij s potvrdom fakulteta do 31. listopada. Postoji obveza zaposliti se na području Županije najmanje onoliko vremena koliko je primao stipendiju.,"https://www.bpz.hr/upravna-tijela/upravni-odjel-za-obrazovanje,-šport-i-kulturu/stipendije",PROVJERITI RUČNO (rok nije jasno parsiran),2026-09-26T11:20
Krapinsko-zagorska županija — natječaji,Stipendije učenicima srednjih škola,https://kzz.hr/natjecaj/,Županija,,False,8.10.2026. godine,,,Detaljni tekst natječaja sa obrascima nalazi se na podstranici natječaja.,,OTVORENO — rok za 12 dana (2026-10-08),2026-09-26T11:20
Grad Umag — studiranje i sustav stipendiranja,,https://umag.hr/informacije/stipendije-196,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:20
Grad Makarska — natječaji i javni pozivi,,https://makarska.hr/natjecaji-i-javni-pozivi/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:20
Grad Novi Vinodolski — stipendije,Stipendije nadarenim socijalno ugroženim učenicima i studentima,https://novi-vinodolski.hr/oznaka/stipendije/,Grad,"Za učenike srednjih škola stipendije iznose 600,00 kn mjesečno, a za studente 800,00 kn mjesečno.",False,do 02. 11. 2012,"Učenici srednjih škola i redovni studenti fakulteta svih smjerova koji su hrvatski državljani s prebivalištem na području Grada Novi Vinodolski, nadareni i socijalno ugroženi s minimalnim prosjekom ocjena.","Ispuniti obrazac zahtjeva | Prikupiti svu potrebnu dokumentaciju (svjedodžbe, uvjerenja o upisu, dokaze o prihodima i sl.) | Podnijeti zahtjev osobno u Uredu Grada ili poštom preporučeno | Podnošenje do 02.11.2012.","Iznos je u kunama (kn), ne eurima. Natječaj je za školsku/akademsku godinu 2012/2013.",https://novi-vinodolski.hr/natjecaj-za-dodjelu-stipendija-nadarenim-socijalno-ugrozenim-ucenicima-i-studentima-za-skolsku-akademsku-godinu-2012-2013/,ROK ISTEKAO (2012-11-02) — čeka se novi ciklus,2026-09-26T11:21
Grad Poreč — stipendije i subvencije,Stipendije učenicima i studentima,https://www.porec.hr/prva.aspx?stranica=84,Grad,,False,rujan za učenike i listopad za studente,"Učenici srednjih škola i studenti koji se školuju, s prioritetom za one koji se školuju za deficitarna zanimanja prema zaključku Gradonačelnika.",,Grad Poreč-Parenzo dodjeljuje do 5 stipendija učenicima i do 24 stipendije studentima. Učenici za deficitarna zanimanja ostvaruju dodatne bodove i veći iznos stipendije.,https://www.porec.hr/hr-hr/stipendije-i-subvencije,PROVJERITI RUČNO (rok nije jasno parsiran),2026-09-26T11:21
Grad Rovinj — stipendije,,https://www.rovinj-rovigno.hr/odgoj-i-obrazovanje/stipendije/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:21
Grad Križevci — dokumenti i natječaji,,https://krizevci.hr/dokumenti,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:21
Općina Medulin — odgoj i obrazovanje,,https://medulin.hr/odgoj-obrazovanje,Općina,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:22
Općina Tučepi — natječaji,,https://www.tucepi.hr/,Općina,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:22
Općina Baška — službene stranice,Stipendije učenicima za školsku godinu 2026./2027,https://www.baska.hr/,Općina,"125,00 eura mjesečno",False,do 30. rujna 2026. godine do 12:00 sati,"Hrvatski državljani s prebivalištem na području Općine Baška koji su redoviti učenici trogodišnjih obrtničkih škola za deficitarna zanimanja, redovni učenici srednjih škola za deficitarna zanimanja, ili redoviti učenici četverogodišnjih srednjih škola s prosjekom ocjena na osnovna škola od 4,70 ili srednja škola od 4,50 na više.",Registracija putem https://som-natjecaj.eu/authentication/register | Prijava putem https://som-natjecaj.eu/authentication/login | Popunjavanje e-obrasca kroz sustav SOM Natječaji | Prilaganje potrebne dokumentacije | Podnošenje do 30. rujna 2026. godine do 12:00 sati | Kontakt za poteškoće: podrska@som-system.com,"Natječaj je objavljen na https://som-natjecaj.eu/. Detaljne upute za registraciju i prijavu dostupne su u PDF dokumentu ""Upute za korisnike aplikacije-OPĆINA BAŠKA-SOM NATJEČAJ"". Broj stipendija ovisi o broju kvalificiranih prijava i raspoloživim sredstvima.",https://www.baska.hr/natjecaj-za-dodjelu-stipendija-ucenicima-za-skolsku-godinu-2026-2027/,OTVORENO — rok za 6 dana (2026-09-30),2026-09-26T11:22
Grad Opatija — natječaji za stipendije,,https://opatija.hr/?s=stipendij,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:22
Grad Krk — natječaji,,https://www.grad-krk.hr/natjecaji,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:22
